cijena,stanje,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
229062,1,65,1,0,3,1
229755,0,79,1,0,3,1
234090,0,81,1,0,3,1
235000,0,81,1,0,3,1
235000,0,92,1,0,3,1
237750,1,47,1,0,2,1
238000,1,47,1,0,2,1
239000,0,82,1,0,3,1
249500,0,75,1,0,3,1
255000,0,69,1,0,3,1
255000,0,97,1,0,3,1
259000,0,105,1,0,3,1
270000,0,90,1,0,4,1
270000,1,77,1,0,3,1
283000,0,124,1,0,4,1
290000,0,100,1,0,4,1
295000,0,104,1,0,4,1
297500,0,119,1,0,4,1
299000,0,120,1,0,4,1
300000,0,60,1,0,4,1
300000,0,104,1,0,4,1
314000,0,106,1,0,4,1
314000,0,106,1,0,3,1
315000,0,95,1,0,3,1
315000,0,95,1,0,3,1
315000,0,95,1,0,3,1
320000,0,104,1,0,4,1
330000,0,104,1,0,3,1
360000,0,92,1,0,3,1
390000,0,100,1,0,4,1
405000,0,96,1,0,4,1
420000,0,112,1,0,4,1
420000,1,128,1,0,4,1
420000,0,132,1,0,4,1
450000,0,116,1,0,4,1
469000,0,116,1,0,4,1
550000,0,183,1,0,5,1
75600,0,42,1,0,1,2
85000,0,50,1,0,2,2
85000,0,42,1,0,1,2
88500,0,42,1,0,2,2
100000,0,70,1,0,3,2
104500,0,48,1,0,2,2
120000,0,65,1,0,3,2
120000,0,52,1,0,2,2
120000,0,52,1,0,1.5,2
125000,0,63,1,0,3,2
130000,0,72,1,0,3,2
135000,0,68,1,0,3,2
135000,0,68,1,0,3,2
143000,0,65,1,0,3,2
147000,0,84,1,0,3,2
150000,0,90,1,0,4,2
158700,0,69,1,0,3,2
170000,0,58,1,0,3,2
174000,0,65,1,0,3,2
175000,0,65,1,0,2,2
181675,1,84,1,0,3,2
186415,1,67,1,0,2,2
196350,0,94,1,0,4,2
199000,0,84,1,0,4,2
200000,0,58,1,0,2,2
201533,0,68,1,0,3,2
205000,0,81,1,0,3,2
209757,0,74,1,0,2,2
215000,0,87,1,0,4,2
235000,0,72,1,0,3,2
243000,0,88,1,0,3,2
262000,1,122,1,0,4,2
398000,0,105,1,0,4,2
399000,0,133,1,0,5,2
440000,0,117,1,0,4,2
470000,0,138,1,0,4,2
108003,1,51,1,0,2,3
145200,0,88,1,0,3,3
152523,1,72,1,0,4,3
155000,0,55,1,0,2,3
43000,0,30,1,0,1,4
64000,0,29,1,0,1,4
