cijena,stanje,lokacija,broj_kvadrata,sprat,namjesten,broj_soba,grijanje
102400,1,Trnovo,29,0,0,2,4
106000,0,Ilidza,51,0,0,2,4
270000,0,Opcina Centar,97,0,0,3,4
337000,1,Opcina Centar,100,0,0,3,4
35000,0,Hadzici,49,0,0,2,5
47000,0,Ilijas,47,0,0,1,5
89000,0,Stari Grad,55,0,0,3,5
89000,0,Opcina Centar,52,0,0,2,5
130000,0,Ilidza,291,0,0,3,5
145000,0,Stari Grad,64,0,0,3,5
150000,0,Opcina Centar,62,0,0,3,5
295000,1,Opcina Centar,72,0,0,3,5
324945,1,Opcina Centar,93,0,0,3,5
337000,1,Opcina Centar,94,0,0,3,5
337000,1,Opcina Centar,94,0,0,3,5
46000,0,Opcina Centar,54,1,0,1.5,1
60000,0,Stari Grad,45,1,0,2,1
65718,1,Novi Grad,24,1,0,2,1
65718,0,Novi Grad,24,1,0,1,1
76570,0,Novi Grad,29,1,0,1.5,1
79000,0,Stari Grad,56,1,0,2,1
85000,1,Novi Grad,46,1,0,2,1
87950,0,Stari Grad,49,1,0,1.5,1
94000,0,Ilidza,49,1,0,2,1
96000,0,Ilidza,66,1,0,2,1
97000,0,Novi Grad,65,1,0,3,1
100000,0,Hadzici,88,1,0,4,1
100000,0,Novi Grad,41,1,0,2,1
103000,0,Stari Grad,32,1,0,1.5,1
103000,0,Stari Grad,33,1,0,1,1
104000,0,Stari Grad,31,1,0,1,1
110000,0,Ilidza,65,1,0,3,1
110000,0,Ilidza,50,1,0,1.5,1
115000,0,Ilidza,86,1,0,3,1
115000,0,Opcina Centar,55,1,0,2,1
117000,0,Opcina Centar,62,1,0,2,1
120000,0,Ilidza,85,1,0,3,1
125000,0,Ilidza,60,1,0,3,1
127500,0,Opcina Centar,61,1,0,2,1
129000,0,Novo Sarajevo,48,1,0,2,1
132000,0,Ilidza,61,1,0,2,1
140000,0,Ilidza,58,1,0,2,1
143646,0,Novi Grad,59,1,0,3,1
144372,1,Opcina Centar,73,1,0,3,1
148000,0,Novo Sarajevo,90,1,0,3,1
148500,0,Novo Sarajevo,61,1,0,3,1
150000,0,Stari Grad,93,1,0,3,1
150000,0,Novo Sarajevo,61,1,0,2,1
154545,1,Opcina Centar,75,1,0,3,1
157000,0,Opcina Centar,58,1,0,3,1
160500,1,Stari Grad,51,1,0,3,1
160500,1,Stari Grad,50,1,0,2,1
163000,1,Ilidza,78,1,0,3,1
164800,0,Ilidza,89,1,0,3,1
165000,0,Ilidza,78,1,0,3,1
165000,0,Opcina Centar,83,1,0,3,1
165000,0,Opcina Centar,65,1,0,2,1
165000,0,Opcina Centar,65,1,0,2,1
172188,0,Novi Grad,71,1,0,3,1
174696,0,Ilidza,89,1,0,3,1
177300,1,Novi Grad,80,1,0,3,1
185000,1,Novi Grad,69,1,0,3,1
189500,0,Opcina Centar,77,1,0,3,1
190000,0,Opcina Centar,92,1,0,4,1
195000,0,Opcina Centar,65,1,0,3,1
196000,0,Stari Grad,70,1,0,3,1
205000,0,Opcina Centar,59,1,0,3,1
206000,0,Stari Grad,79,1,0,3,1
209441,1,Opcina Centar,59,1,0,3,1
210000,0,Stari Grad,87,1,0,3,1
215000,0,Opcina Centar,74,1,0,3,1
219912,0,Ilidza,87,1,0,3,1
229062,1,Opcina Centar,65,1,0,3,1
229755,0,Ilidza,79,1,0,3,1
234090,0,Ilidza,81,1,0,3,1
235000,0,Stari Grad,81,1,0,3,1
235000,0,Opcina Centar,92,1,0,3,1
237750,1,Opcina Centar,47,1,0,2,1
238000,1,Opcina Centar,47,1,0,2,1
239000,0,Stari Grad,82,1,0,3,1
249500,0,Opcina Centar,75,1,0,3,1
255000,0,Stari Grad,69,1,0,3,1
255000,0,Opcina Centar,97,1,0,3,1
259000,0,Stari Grad,105,1,0,3,1
270000,0,Stari Grad,90,1,0,4,1
270000,1,Stari Grad,77,1,0,3,1
283000,0,Opcina Centar,124,1,0,4,1
290000,0,Opcina Centar,100,1,0,4,1
295000,0,Opcina Centar,104,1,0,4,1
297500,0,Opcina Centar,119,1,0,4,1
299000,0,Opcina Centar,120,1,0,4,1
300000,0,Novi Grad,60,1,0,4,1
300000,0,Opcina Centar,104,1,0,4,1
314000,0,Opcina Centar,106,1,0,4,1
314000,0,Opcina Centar,106,1,0,3,1
315000,0,Opcina Centar,95,1,0,3,1
315000,0,Opcina Centar,95,1,0,3,1
315000,0,Opcina Centar,95,1,0,3,1
320000,0,Opcina Centar,104,1,0,4,1
330000,0,Stari Grad,104,1,0,3,1
360000,0,Novo Sarajevo,92,1,0,3,1
390000,0,Opcina Centar,100,1,0,4,1
405000,0,Opcina Centar,96,1,0,4,1
420000,0,Opcina Centar,112,1,0,4,1
420000,1,Opcina Centar,128,1,0,4,1
420000,0,Opcina Centar,132,1,0,4,1
450000,0,Opcina Centar,116,1,0,4,1
469000,0,Opcina Centar,116,1,0,4,1
550000,0,Opcina Centar,183,1,0,5,1
75600,0,Novi Grad,42,1,0,1,2
85000,0,Novi Grad,50,1,0,2,2
85000,0,Novi Grad,42,1,0,1,2
88500,0,Ilidza,42,1,0,2,2
100000,0,Hadzici,70,1,0,3,2
104500,0,Novi Grad,48,1,0,2,2
120000,0,Vogosca,65,1,0,3,2
120000,0,Opcina Centar,52,1,0,2,2
120000,0,Novi Grad,52,1,0,1.5,2
125000,0,Novi Grad,63,1,0,3,2
130000,0,Hadzici,72,1,0,3,2
135000,0,Novi Grad,68,1,0,3,2
135000,0,Novi Grad,68,1,0,3,2
143000,0,Novi Grad,65,1,0,3,2
147000,0,Ilidza,84,1,0,3,2
150000,0,Novi Grad,90,1,0,4,2
158700,0,Novo Sarajevo,69,1,0,3,2
170000,0,Opcina Centar,58,1,0,3,2
174000,0,Opcina Centar,65,1,0,3,2
175000,0,Opcina Centar,65,1,0,2,2
181675,1,Novi Grad,84,1,0,3,2
186415,1,Ilidza,67,1,0,2,2
196350,0,Novi Grad,94,1,0,4,2
199000,0,Ilidza,84,1,0,4,2
200000,0,Opcina Centar,58,1,0,2,2
201533,0,Novi Grad,68,1,0,3,2
205000,0,Opcina Centar,81,1,0,3,2
209757,0,Novi Grad,74,1,0,2,2
215000,0,Novo Sarajevo,87,1,0,4,2
235000,0,Novo Sarajevo,72,1,0,3,2
243000,0,Opcina Centar,88,1,0,3,2
262000,1,Novi Grad,122,1,0,4,2
398000,0,Opcina Centar,105,1,0,4,2
399000,0,Opcina Centar,133,1,0,5,2
440000,0,Opcina Centar,117,1,0,4,2
470000,0,Opcina Centar,138,1,0,4,2
108003,1,Ilidza,51,1,0,2,3
145200,0,Ilidza,88,1,0,3,3
152523,1,Ilidza,72,1,0,4,3
155000,0,Novi Grad,55,1,0,2,3
